Date,Open,High,Low,Close,Volume
2009-11-17,25.999,26.172,25.867,26.117,112075580
2009-11-18,26.023,26.117,25.739,25.984,105755248
2009-11-19,25.803,25.815,25.208,25.298,152938150
2009-11-20,25.024,25.284,24.95,25.222,115090937
2009-11-23,25.626,25.99,25.607,25.974,134130060
2009-11-24,25.892,25.974,25.6,25.793,89799116
2009-11-25,25.927,25.944,25.707,25.762,81086109
2009-11-27,25.12,25.608,25.029,25.309,83578384
2009-11-30,25.352,25.446,25.078,25.221,119987625
2009-12-01,25.517,25.584,24.835,24.851,130944080
2009-12-02,25.113,25.411,24.697,24.758,201957751
2009-12-03,24.964,25.106,24.764,24.792,126724914
2009-12-04,25.195,25.219,24.006,24.389,233916200
2009-12-07,24.389,24.449,23.806,23.839,201862488
2009-12-08,23.851,24.268,23.809,23.956,194930266
2009-12-09,24.129,25.002,24.01,24.956,192942622
2009-12-10,25.194,25.195,24.744,24.785,138407735
2009-12-11,24.948,24.982,24.405,24.56,121430475
2009-12-14,24.661,24.909,24.295,24.852,139313786
2009-12-15,24.698,24.92,24.383,24.5,118607604
2009-12-16,24.603,24.794,24.545,24.606,99873072
2009-12-17,24.587,24.603,24.098,24.207,109530745
2009-12-18,24.362,24.665,24.301,24.657,171964020
2009-12-21,24.729,25.201,24.688,25.012,172343438
2009-12-22,25.207,25.344,25.065,25.28,98700550
2009-12-23,25.381,25.535,25.338,25.498,97564950
2009-12-24,25.666,26.414,25.655,26.375,141786333
2009-12-28,26.639,26.993,26.446,26.698,182101713
2009-12-29,26.829,26.839,26.336,26.383,125457636
2009-12-30,26.339,26.747,26.281,26.702,116303505
2009-12-31,26.888,26.916,26.567,26.588,99548990
2010-01-04,26.936,27.064,26.797,27.001,139103287
2010-01-05,27.101,27.2,26.906,27.049,170235998
2010-01-06,27.049,27.155,26.59,26.617,155706764
2010-01-07,26.707,26.747,26.376,26.568,134856581
2010-01-08,26.548,26.747,26.378,26.746,126603452
2010-01-11,26.87,26.873,26.299,26.51,130527013
2010-01-12,26.409,26.464,26.043,26.208,167928984
2010-01-13,26.258,26.613,25.75,26.578,171089037
2010-01-14,26.5,26.554,26.373,26.422,122429768
2010-01-15,26.672,26.697,25.973,25.98,168118810
2010-01-19,26.292,27.15,26.147,27.132,206344721
2010-01-20,27.116,27.194,26.432,26.713,173006675
2010-01-21,26.786,26.911,26.143,26.251,171818453
2010-01-22,26.09,26.179,24.872,24.948,248224026
2010-01-25,25.592,25.827,25.258,25.622,294313346
2010-01-26,25.972,26.964,25.56,25.981,526564123
2010-01-27,26.094,26.568,25.172,26.226,487196006
2010-01-28,25.905,25.927,25.07,25.143,331644879
2010-01-29,25.4,25.511,24.002,24.231,352228962
2010-02-01,24.298,24.729,24.136,24.569,211656804
2010-02-02,24.72,24.77,24.398,24.71,197536002
2010-02-03,24.634,25.26,24.529,25.135,173863149
2010-02-04,24.837,25.029,24.171,24.23,214009395
2010-02-05,24.311,24.729,24.079,24.661,240453534
